last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Murphy, John Ryan,571974,109,ARI,C,27,53,4.35,27.3
Orf, Nate,644337,158,MIL,,28,6,,27.3
Rendon, Anthony,543685,120,WSH,3B,28,203,4.37,27.3
Trahan, Blake,664167,113,CIN,SS,24,7,,27.3
Pinder, Chad,640461,133,OAK,LF,26,96,4.45,27.3
Austin, Tyler,592122,142,MIN,1B,26,76,4.47,27.3
Devers, Rafael,646240,111,BOS,3B,21,182,4.31,27.3
Peralta, David,444482,109,ARI,LF,30,265,4.35,27.3
Beckham, Tim,542921,110,BAL,SS,28,147,4.41,27.2
Frazier, Adam,624428,134,PIT,2B,26,151,4.34,27.2
Soto, Juan,665742,120,WSH,LF,19,211,4.21,27.2
Marrero, Deven,571918,109,ARI,3B,27,30,4.49,27.2
Johnson, Sherman,582473,108,LAA,2B,27,6,,27.2
Delmonico, Nicky,547170,145,CWS,LF,25,109,4.51,27.2
Utley, Chase,400284,119,LAD,2B,39,63,4.27,27.2
Swihart, Blake,596119,111,BOS,C,26,77,4.33,27.2
LeMahieu, DJ,518934,115,COL,2B,29,265,4.46,27.2
Blash, Jabari,518466,108,LAA,RF,28,6,,27.2
Martini, Nick,605361,133,OAK,LF,28,75,4.37,27.1
Anderson, Brian,605119,146,MIA,RF,25,266,4.44,27.1
Schwarber, Kyle,656941,112,CHC,LF,25,151,4.29,27.1
Simmons, Andrelton,592743,108,LAA,SS,28,280,4.48,27.1
Bell, Josh,605137,134,PIT,1B,25,238,4.41,27.1
Herrmann, Chris,543302,136,SEA,C,30,20,,27.1
Stewart, Christin,621514,116,DET,LF,24,21,,27.1
Harrison, Josh,543281,134,PIT,2B,30,131,4.38,27.1
Torres, Gleyber,650402,147,NYY,2B,21,121,4.36,27.1
Cozens, Dylan,622226,143,PHI,LF,24,9,,27.1
Tucker, Preston,605512,144,ATL,LF,27,63,4.35,27.1
Thames, Eric,519346,158,MIL,1B,31,65,4.27,27.1
Andrus, Elvis,462101,140,TEX,SS,29,194,4.38,27.0
Hechavarria, Adeiny,588751,147,NYY,SS,29,111,4.44,27.0
Castro, Daniel,593495,115,COL,2B,25,23,4.34,27.0
Travis, Sam,607752,111,BOS,LF,24,21,4.49,27.0
Sierra, Moisés,501213,120,WSH,LF,29,21,4.37,27.0
Mancini, Trey,641820,110,BAL,LF,26,261,4.51,27.0
Travis, Devon,581527,141,TOR,2B,27,161,4.44,27.0
O'Hearn, Ryan,656811,118,KC,1B,24,51,4.55,27.0
Lamb, Jake,571875,109,ARI,3B,27,92,4.36,27.0
Ngoepe, Gift,547912,141,TOR,2B,28,5,,26.9
Knapp, Andrew,595284,143,PHI,C,26,55,4.32,26.9
Cuthbert, Cheslor,596144,118,KC,3B,25,38,4.48,26.9
Kipnis, Jason,543401,114,CLE,2B,31,167,4.38,26.9
Adrianza, Ehire,501303,142,MIN,SS,28,113,4.35,26.9
Gomes, Yan,543228,114,CLE,C,30,115,4.50,26.9
Longoria, Evan,446334,137,SF,3B,32,181,4.47,26.9
Guerra, Javy,642770,135,SD,SS,22,6,,26.9
Drury, Brandon,592273,141,TOR,3B,25,30,4.42,26.9
Santander, Anthony,623993,110,BAL,RF,23,41,4.49,26.9
Urshela, Gio,570482,141,TOR,SS,26,14,,26.9
Vargas, Ildemaro,545121,109,ARI,,26,7,,26.9
Goldschmidt, Paul,502671,109,ARI,1B,30,211,4.47,26.8
Dietrich, Derek,518618,146,MIA,LF,28,177,4.32,26.8
Santana, Domingo,570267,158,MIL,RF,25,82,4.52,26.8
Galvis, Freddy,520471,135,SD,SS,28,204,4.35,26.8
Granderson, Curtis,434158,158,MIL,RF,37,95,4.31,26.8
Sanó, Miguel,593934,142,MIN,3B,25,80,4.62,26.8
Reyes, Franmil,614177,135,SD,RF,22,97,4.54,26.8
Greiner, Grayson,606988,116,DET,C,25,42,4.55,26.8
Mazara, Nomar,608577,140,TEX,RF,23,221,4.32,26.8
McGuire, Reese,624512,141,TOR,C,23,12,,26.8
Cowart, Kaleb,592230,108,LAA,2B,26,33,,26.8
Dozier, Brian,572821,119,LAD,2B,31,213,4.44,26.8
Descalso, Daniel,518614,109,ARI,2B,31,108,4.37,26.8
Braun, Ryan,460075,158,MIL,LF,34,194,4.42,26.8
Zimmerman, Ryan,475582,120,WSH,1B,33,136,4.44,26.8
Farmer, Kyle,571657,119,LAD,3B,27,22,4.49,26.8
Arcia, Orlando,606115,158,MIL,SS,23,169,4.44,26.7
Arroyo, Christian,624414,139,TB,3B,23,28,4.60,26.7
Jones, Adam,430945,110,BAL,CF,32,224,4.53,26.7
Martinez, J.D.,502110,111,BOS,DH,30,244,4.45,26.7
Freeman, Freddie,518692,144,ATL,1B,28,251,4.43,26.7
Piscotty, Stephen,572039,133,OAK,RF,27,240,4.42,26.7
Shaw, Travis,543768,158,MIL,3B,28,156,4.41,26.7
Abreu, José,547989,145,CWS,1B,31,192,4.53,26.7
Sogard, Eric,519299,158,MIL,SS,32,42,4.36,26.7
Gattis, Evan,594828,117,HOU,DH,31,142,4.59,26.7
Rodríguez, Sean,446481,134,PIT,2B,33,42,4.58,26.7
Zobrist, Ben,450314,112,CHC,RF,37,227,4.37,26.7
Marte, Jefry,527043,108,LAA,1B,27,89,4.48,26.7
Cozart, Zack,446359,108,LAA,3B,32,91,4.45,26.7
Joseph, Corban,543377,110,BAL,,29,7,,26.6
Lowrie, Jed,476704,133,OAK,2B,34,196,4.45,26.6
Blandino, Alex,607468,113,CIN,2B,25,47,4.64,26.6
Smith, Kevan,607345,145,CWS,C,30,107,4.63,26.6
Kinsler, Ian,435079,111,BOS,2B,36,200,4.54,26.6
La Stella, Tommy,600303,112,CHC,,29,86,4.37,26.6
Calhoun, Willie,641432,140,TEX,LF,23,39,4.54,26.6
Palka, Daniel,594953,145,CWS,DH,26,140,4.41,26.6
Valentín, Jesmuel,621044,143,PHI,3B,24,26,,26.6
Walker, Neil,435522,147,NYY,1B,32,99,4.44,26.6
O'Brien, Peter,598284,146,MIA,1B,27,20,4.50,26.6
Díaz, Elias,553869,134,PIT,C,27,112,4.55,26.6
Chisenhall, Lonnie,502082,114,CLE,RF,29,33,,26.6
Flaherty, Ryan,475247,144,ATL,3B,31,80,4.42,26.6
Herrera, Odúbel,546318,143,PHI,CF,26,202,4.24,26.6
Martínez, José,500874,138,STL,1B,29,229,4.51,26.5
Turner, Justin,457759,119,LAD,3B,33,166,4.62,26.6
Briceño, José,593993,108,LAA,C,25,39,4.59,26.5
Sardinas, Luis,596143,110,BAL,2B,25,9,,26.5
Guillorme, Luis,641645,121,NYM,3B,23,33,4.28,26.5
Parra, Gerardo,467827,115,COL,LF,31,175,4.31,26.5
Hicks, John,543308,116,DET,1B,28,107,4.43,26.5
Carpenter, Matt,572761,138,STL,3B,32,143,4.40,26.5
Valencia, Danny,502143,110,BAL,3B,33,96,4.55,26.5
Rojas, Miguel,500743,146,MIA,SS,29,209,4.47,26.5
Motter, Taylor,600301,142,MIN,1B,28,17,4.55,26.5
Davis, J.D.,605204,117,HOU,3B,25,38,4.55,26.5
Freese, David,501896,119,LAD,3B,35,123,4.40,26.4
Gennett, Scooter,571697,113,CIN,2B,28,222,4.38,26.4
Joseph, Caleb,543376,110,BAL,C,32,92,4.60,26.4
Gonzalez, Marwin,503556,117,HOU,LF,29,173,4.40,26.4
Smith Jr., Dwight,596105,141,TOR,LF,25,35,4.43,26.4
Romine, Austin,519222,147,NYY,C,29,95,4.49,26.4
Kelly, Ty,571841,121,NYM,LF,29,5,,26.4
Goins, Ryan,572365,118,KC,2B,30,52,4.44,26.4
Mejía, Francisco,642336,135,SD,C,22,18,,26.4
Holt, Brock,571788,111,BOS,2B,30,151,4.40,26.4
Tucker, Kyle,663656,117,HOU,LF,21,19,,26.4
Gómez, Miguel,622497,137,SF,2B,25,7,,26.4
Smith, Dominic,642086,121,NYM,1B,23,45,4.50,26.4
Morrison, Logan,489149,142,MIN,1B,30,89,4.56,26.4
Markakis, Nick,455976,144,ATL,RF,34,286,4.41,26.4
Garver, Mitch,641598,142,MIN,C,27,119,4.53,26.3
Petit, Gregorio,463610,142,MIN,2B,33,20,4.38,26.4
Hoskins, Rhys,656555,143,PHI,LF,25,165,4.56,26.3
Cron, C.J.,543068,139,TB,DH,28,172,4.58,26.3
Haase, Eric,606992,114,CLE,C,25,7,,26.3
Beckham, Gordon,493596,136,SEA,2B,31,17,,26.3
Voit, Luke,572228,147,NYY,1B,27,45,4.63,26.3
Kendrick, Howie,435062,120,WSH,2B,34,63,4.53,26.3
Kemp, Matt,461314,119,LAD,LF,33,170,4.53,26.3
Camargo, Johan,622666,144,ATL,3B,24,184,4.45,26.3
Hosmer, Eric,543333,135,SD,1B,28,297,4.46,26.2
Guzmán, Ronald,608597,140,TEX,1B,23,136,4.48,26.2
Pearce, Steve,456665,111,BOS,1B,35,107,4.54,26.2
Suárez, Eugenio,553993,113,CIN,3B,26,164,4.61,26.2
Trumbo, Mark,444432,110,BAL,DH,32,111,4.66,26.2
Pederson, Joc,592626,119,LAD,LF,26,144,4.36,26.2
Machado, Manny,592518,119,LAD,SS,25,252,4.62,26.1
Pennington, Cliff,460060,113,CIN,3B,34,7,,26.2
Davis, Khris,501981,133,OAK,DH,30,164,4.78,26.1
Calhoun, Kole,594777,108,LAA,RF,30,179,4.52,26.1
Phegley, Josh,572033,133,OAK,C,30,40,4.44,26.1
Alvarez, Pedro,476883,110,BAL,DH,31,36,4.54,26.1
Joyce, Matt,459964,133,OAK,LF,33,69,4.58,26.1
Cruz, Tony,488810,113,CIN,C,31,6,,26.1
Shaw, Chris,622046,137,SF,LF,24,14,,26.1
Barnes, Brandon,488681,114,CLE,RF,32,9,,26.1
Marjama, Mike,605357,136,SEA,C,28,15,,26.1
Healy, Ryon,592387,136,SEA,1B,26,166,4.63,26.1
Cabrera, Melky,466320,114,CLE,RF,33,122,4.44,26.0
Brantley, Michael,488726,114,CLE,LF,31,257,4.61,26.0
Garcia, Aramis,605244,137,SF,1B,25,11,,26.0
Choo, Shin-Soo,425783,140,TEX,DH,35,224,4.43,26.0
Winker, Jesse,608385,113,CIN,RF,24,116,4.51,26.0
Alberto, Hanser,593643,140,TEX,SS,25,11,,26.0
Zunino, Mike,572287,136,SEA,C,27,93,4.59,26.0
Wolters, Tony,547172,115,COL,C,26,93,4.50,26.0
Jay, Jon,445055,109,ARI,RF,33,265,4.51,26.0
Castro, Jason,488771,142,MIN,C,31,16,,26.0
Santana, Carlos,467793,143,PHI,1B,32,224,4.49,26.0
Mauer, Joe,408045,142,MIN,1B,35,234,4.57,26.0
Sanchez, Adrián,506703,120,WSH,2B,27,28,4.62,26.0
Plawecki, Kevin,608700,121,NYM,C,27,88,4.60,26.0
Adams, Matt,571431,138,STL,1B,29,89,4.56,25.9
Belt, Brandon,474832,137,SF,1B,30,107,4.47,25.9
Trevino, Jose,624431,140,TEX,,25,5,,25.9
McMahon, Ryan,641857,115,COL,1B,23,68,4.53,25.9
Olson, Matt,621566,133,OAK,1B,24,169,4.53,25.9
Prado, Martín,445988,146,MIA,3B,34,78,4.60,25.9
Seager, Corey,608369,119,LAD,SS,24,49,4.56,25.9
Maile, Luke,571912,141,TOR,C,27,81,4.62,25.9
Rasmus, Colby,458675,110,BAL,RF,31,12,,25.9
Hedges, Austin,595978,135,SD,C,25,87,4.67,25.9
Sánchez, Gary,596142,147,NYY,C,25,122,4.54,25.8
Kramer, Kevin,596012,134,PIT,2B,24,7,,25.8
McCann, James,543510,116,DET,C,28,137,4.72,25.8
Cervelli, Francisco,465041,134,PIT,C,32,117,4.54,25.8
Choi, Ji-Man,596847,139,TB,DH,27,69,4.38,25.8
Reynolds, Matt,608703,120,WSH,,27,5,,25.8
Stassi, Max,545358,117,HOU,C,27,94,4.65,25.8
Phillips, Brandon,408252,111,BOS,2B,37,13,,25.8
Vogelbach, Daniel,596129,136,SEA,1B,25,23,4.65,25.8
Seager, Kyle,572122,136,SEA,3B,30,174,4.50,25.8
White, Tyler,643603,117,HOU,1B,27,76,4.55,25.8
Caratini, Victor,605170,112,CHC,C,24,91,4.61,25.7
Ramirez, Hanley,434670,111,BOS,1B,34,71,4.68,25.7
Arenado, Nolan,571448,115,COL,3B,27,222,4.57,25.7
Headley, Chase,452104,135,SD,3B,34,17,,25.7
Moustakas, Mike,519058,158,MIL,3B,29,194,4.60,25.7
Frazier, Todd,453943,121,NYM,3B,32,122,4.59,25.7
Crawford, Brandon,543063,137,SF,SS,31,202,4.43,25.7
Mathis, Jeff,425772,109,ARI,C,35,63,4.64,25.7
Flores, Wilmer,527038,121,NYM,1B,26,152,4.56,25.7
Villanueva, Christian,570799,135,SD,3B,27,94,4.67,25.6
Davidson, Matt,571602,145,CWS,DH,27,132,4.63,25.7
Mesoraco, Devin,519023,121,NYM,C,30,79,4.52,25.6
Franco, Maikel,596748,143,PHI,3B,25,190,4.74,25.6
Rizzo, Anthony,519203,112,CHC,1B,28,211,4.58,25.6
Hundley, Nick,460026,137,SF,C,34,88,4.66,25.6
Suzuki, Kurt,435559,144,ATL,C,34,122,4.66,25.6
Bautista, José,430832,143,PHI,RF,37,91,4.74,25.5
Davis, Chris,448801,110,BAL,1B,32,126,4.65,25.5
Panik, Joe,605412,137,SF,2B,27,160,4.47,25.5
Martin, Russell,431145,141,TOR,C,35,118,4.76,25.5
Telis, Tomás,542513,146,MIA,,27,11,,25.5
Bruce, Jay,457803,121,NYM,RF,31,79,4.52,25.5
Sisco, Chance,642082,110,BAL,C,23,48,4.53,25.5
Gimenez, Chris,460269,142,MIN,C,35,22,4.69,25.5
Murphy, Daniel,502517,112,CHC,2B,33,111,4.58,25.5
Gordon, Alex,460086,118,KC,LF,34,177,4.58,25.5
Viloria, Meibrys,650619,118,KC,C,21,13,,25.5
Fernández, José Miguel,628336,108,LAA,1B,30,45,4.68,25.4
Cabrera, Asdrúbal,452678,143,PHI,2B,32,183,4.63,25.4
Tellez, Rowdy,642133,141,TOR,1B,23,26,,25.3
Vázquez, Christian,543877,111,BOS,C,27,106,4.57,25.3
Votto, Joey,458015,113,CIN,1B,34,180,4.72,25.3
Iannetta, Chris,455104,115,COL,C,35,102,4.79,25.3
Chirinos, Robinson,455139,140,TEX,C,34,75,4.81,25.3
Donaldson, Josh,518626,114,CLE,3B,32,75,4.72,25.2
Flowers, Tyler,452095,144,ATL,C,32,76,4.57,25.2
Moreland, Mitch,519048,111,BOS,1B,32,153,4.42,25.2
Narváez, Omar,553882,145,CWS,C,26,117,4.70,25.2
Nido, Tomás,621512,121,NYM,C,24,32,4.80,25.2
Holliday, Matt,407812,115,COL,LF,38,19,,25.2
Moran, Colin,592567,134,PIT,3B,25,167,4.62,25.2
Ciuffo, Nick,624419,139,TB,C,23,11,,25.2
Stallings, Jacob,607732,134,PIT,C,28,15,,25.2
Wynns, Austin,642851,110,BAL,C,27,42,4.83,25.2
Higashioka, Kyle,543309,147,NYY,C,28,15,,25.1
Moore, Adam,446192,139,TB,C,34,5,,25.1
Gyorko, Jedd,576397,138,STL,3B,29,126,4.55,25.1
Freitas, David,571679,136,SEA,C,29,32,4.85,25.1
Bird, Greg,595885,147,NYY,1B,25,83,4.72,25.1
Holaday, Bryan,592407,146,MIA,C,30,63,4.64,25.1
Piña, Manny,444489,158,MIL,C,31,115,4.72,25.0
Perez, Salvador,521692,118,KC,C,28,139,4.82,25.0
Lucroy, Jonathan,518960,133,OAK,C,32,167,4.71,25.0
Pérez, Carlos,542208,140,TEX,C,27,14,,25.0
Sandoval, Pablo,467055,137,SF,3B,31,89,4.56,25.0
Barnhart, Tucker,571466,113,CIN,C,27,177,4.65,25.0
Kieboom, Spencer,571851,120,WSH,C,27,45,4.86,24.9
Butera, Drew,460077,115,COL,C,34,55,4.70,24.9
Cruz, Nelson,443558,136,SEA,DH,37,170,4.73,24.9
Perez, Michael,605421,139,TB,C,25,23,,24.9
Centeno, Juan,518542,140,TEX,C,28,14,,24.9
Duda, Lucas,446263,144,ATL,1B,32,90,4.75,24.8
Wallach, Chad,595453,146,MIA,C,26,12,,24.8
Beltré, Adrián,134181,140,TEX,3B,39,147,4.75,24.8
Lopez, Raffy,607257,135,SD,C,30,20,4.75,24.7
Posey, Buster,457763,137,SF,C,31,181,4.70,24.7
Solarte, Yangervis,500208,141,TOR,3B,30,189,4.75,24.7
Kratz, Erik,456124,158,MIL,C,38,85,4.78,24.7
Astudillo, Willians,553902,142,MIN,C,26,38,4.79,24.6
Aguilar, Jesús,542583,158,MIL,1B,28,146,4.70,24.6
Lobaton, Jose,446653,121,NYM,C,33,20,,24.6
Pérez, Roberto,547379,114,CLE,C,29,55,4.86,24.6
Arcia, Francisco,516472,108,LAA,C,28,39,4.80,24.6
Kelly, Carson,608348,138,STL,C,23,13,,24.5
Grandal, Yasmani,518735,119,LAD,C,29,149,4.88,24.5
Casali, Curt,592200,113,CIN,C,29,47,4.91,24.5
Rivera, René,425784,144,ATL,C,34,22,,24.4
Canó, Robinson,429664,136,SEA,2B,35,141,4.59,24.4
Reynolds, Mark,448602,120,WSH,1B,34,54,4.82,24.4
Encarnación, Edwin,429665,114,CLE,DH,35,145,4.85,24.3
González, Adrián,408236,121,NYM,1B,36,58,4.76,24.3
Wieters, Matt,446308,120,WSH,C,32,65,4.70,24.3
Hudson, Joe,621529,108,LAA,C,27,5,,24.2
Gallagher, Cam,595956,118,KC,C,25,19,,24.2
Ellis, A.J.,454560,135,SD,C,37,54,4.93,24.1
Valbuena, Luis,472528,108,LAA,3B,32,69,4.74,24.0
Maldonado, Martín,455117,117,HOU,C,31,142,4.89,24.0
León, Sandy,506702,111,BOS,C,29,94,4.72,23.9
Federowicz, Tim,543148,113,CIN,C,30,10,,23.9
Cabrera, Miguel,408234,116,DET,1B,35,56,4.93,23.9
Bandy, Jett,542908,158,MIL,C,28,13,,23.9
Maxwell, Bruce,622194,133,OAK,C,27,21,4.96,23.9
Wilson, Bobby,435064,142,MIN,C,35,59,4.86,23.8
Smoak, Justin,475253,141,TOR,1B,31,165,4.91,23.8
Bour, Justin,571506,143,PHI,1B,30,146,4.72,23.7
Avila, Alex,488671,109,ARI,C,31,52,4.94,23.7
Castillo, Welington,456078,145,CWS,C,31,51,4.97,23.7
Stewart, Chris,455755,109,ARI,C,36,7,,23.5
Morales, Kendrys,434778,141,TOR,DH,35,148,4.96,23.4
Alonso, Yonder,475174,114,CLE,1B,31,156,4.95,23.3
Martinez, Victor,400121,116,DET,DH,39,158,4.87,23.2
Peña, Francisco,506747,138,STL,C,28,46,4.92,23.1
Sucre, Jesús,491696,139,TB,C,30,65,5.10,22.8
Molina, Yadier,425877,138,STL,C,35,163,4.91,22.8
McCann, Brian,435263,117,HOU,C,34,44,4.98,22.7
Ramos, Wilson,467092,143,PHI,C,30,153,4.93,22.6
Susac, Andrew,572180,110,BAL,C,28,6,,22.5
Pujols, Albert,405395,108,LAA,1B,38,164,5.01,22.2